Title,Description
Python Developer / Data Engineer,"A product company with FTSE 500 clients in 50+ countries around the world, is looking for a Python Developer / Data Engineer developer to join the Satellite Tracking Unit, a web platform for processing and analysing satellite imagery and Earth remote sensing<br><br>What we expect from a candidate:<br>- Commercial experience in development 3+ years (Python);<br>- Experience with GCP (GKE, GCS, Cloud SQL, Cloud Endpoints, Cloud Run, Cloud Composer) or similar solutions from other cloud providers;<br>- Ability to deploy applications in Kubernetes is required;<br>- Experience with Airflow or other orchestration tools;<br>- Ability to write REST API and microservices (aiohttp, Flask);<br>- Knowledge of SQL (PosrgreSQL) + SQLAlchemy Core/ORM;<br>- Knowledge of Docker is a must;<br>- Ability to work in a team;<br>- Experience with version control systems (Git);<br>- Experience in UNIX environment.<br><br>Will be a benefit:<br>- Experience writing Terraform configs;<br>- Non-relational DBMS;<br>- Experience with GIS data;<br>- Experience with GDAL/OGR, rasterio;<br>- Experience with ELK or similar systems;<br>- Interest in ML/DL and experience in projects using them.<br><br>The company offers:<br>- opportunity to be a part of a best-in-class product that is used by thousands of companies around the world;<br>- participation in complex technical tasks and challenges;<br>- environment where you need to seek and implement unique engineering and technical solutions;<br>- daily work with tasks in the field of neural networks and machine learning;<br>- trainings and development programs."
Junior Python Developer,"Newsoft is looking for a Python Developer with an understanding of JavaScript to join our team. In addition to external projects, we are actively engaged in the development of our internal systems. We have created our own system that sets a new standard for interaction between employees and management, ensuring clarity and understanding of all company processes. This role includes the responsibility of enhancing the system with innovative solutions, developing new features, and providing support for existing ones.<br><br>Requirements:<br>▪️ 6+ months of software development experience (commercial experience or own projects).<br>▪️ Solid knowledge of Python.<br>▪️ Understanding of RESTful APIs.<br>▪️ Proficiency in at least one of the Python frameworks (Django, FastAPI, Flask).<br>▪️ Experience working with relational databases (PostgreSQL, MySQL).<br>▪️ Experience of working with Git.<br>▪️ Understanding of SOLID principles.<br>▪️ Strong knowledge of HTML/CSS.<br>▪️ Knowledge of TypeScript or JavaScript.<br>▪️ Understanding of React (experience will be an advantage).<br>▪️ Upper-intermediate level of English.<br><br>Nice-to-Have Skills:<br>▪️ Familiarity with Docker.<br>▪️ Experience working with AWS or other cloud service providers.<br><br>Interview stages: <br>▪️ HR interview (30 minutes).<br>▪️ Technical interview (1 hour).<br>▪️ Job offer🎉🎉🎉<br><br>We offer:<br>▪️ Competitive salary + bonuses.<br>▪️ Challenging tasks and projects.<br>▪️ Opportunities for professional development and growth.<br>▪️ Flexible working hours.<br>▪️ New hardware.<br>▪️ Free English lessons.<br>▪️ Availability of generators and Starlinks in the office.<br>▪️ Small gym and table tennis in the office.<br>▪️ Adjustable height tables.<br>▪️ Regular office fruit delivery and other benefits.<br><br>Let’s create value together!"
Data Mining Engineer needed for data centric startup,"We're in the process of scaling our current systems and looking for a clever, flexible, and resourceful engineer to help build out our data pipelines. <br><br>Our existing pipelines scrape websites for data, clean and transform the data, then make the data available to our front end UI and API. <br><br>Our tech stack primarily uses Kubernetes, Docker, Airflow, Python, Selenium, Postgres, S3, and gitlab for CI/CD.<br><br>You will be responsible for:<br>- Developing web scrapers for the Data Acquisition team and optimizing pipeline execution.<br>- Using pandas to normalize data.<br>- Creating docker images of scrapers to be deployed to kubernetes.<br>- Creating airflow dags to schedule pipelines.<br>- Developing tests to ensure proper pipeline execution.<br><br>This position requires experience developing python and writing web scrapers.<br><br>NOTE: Please make all e-mails and communications through the djinni website. Thank you."
Python ML/AI,"<b>Requirements:</b><br><br>— 3+ years of Software Engineering experience<br>— 3+ years of experience with Python<br>— 2+ years of experience with AI/ML<br>— Strong Software Design knowledge: OOD, FP, Design patterns<br>— Proficient understanding of Git<br>— Excellent understanding of both NoSQL and SQL databases<br>— Experience with Docker & CI/CD processes<br>— Experience with AWS (or similar services like GCP or Azure)<br>— Knowledge of Agile (preferably SCRUM) development practices<br>— English B2+ (Upper-Intermediate)<br><br><b>Responsibilities:</b><br><br>— Develop scraping and parsing solutions;<br>— Develop API, ETL pipelines, other data integration services ;<br>— Collaborate with Project Managers to solve customer problems;<br>— Optimize applications regarding project requirements;<br>— Collaborate with team members, take part in meetings, brainstorms.<br><br><br><b>We offer:</b><br>— Full-time<br>— Remote<br>— Vacation 24 day/year<br>— Sick day 5 day/year<br>— English courses"
Python (Django) Engineer,"We are<b> Softwarium</b>, a Ukrainian outsourcing IT company. We have been developing software for American, Canadian, and Norwegian clients in the education, healthcare, energy, and security industries for over 20 years.<br><br>We are presently seeking a Python Engineer on behalf of our esteemed US client. The ideal candidate should possess a proactive mindset and a strong aptitude for addressing intricate challenges. In this role, you will assume a pivotal position in the development of low-latency, high-throughput systems that seamlessly incorporate advanced AI technologies into pragmatic, scalable solutions for our clients.<br><br><b>Project details: </b><br><br>Tempo AI represents an advanced customer service solution powered by ChatGPT. This innovative platform seamlessly integrates with renowned platforms such as Shopify, Salesforce, Zendesk, and custom e-commerce stores to streamline and automate a spectrum of customer service operations.<br><br>Our client is growing rapidly and searching for a seasoned Python Engineer with a blend of robust Django expertise, cloud infrastructure knowledge, and a passion for AI technology. If you're ready to put your skills to the test in a dynamic, fast-paced environment, we welcome you to join us in pioneering the future of AI-driven customer services.<br><br><b>Core Responsibilities:</b><br><br>- Build and maintain high-performance, scalable backend systems using Python and Django.<br>- Work with AWS services to architect resilient cloud infrastructure<br>Integrate and manage Twilio’s communication APIs within our service stack.<br>- Develop multi-threaded and asynchronous service routines to handle real-time AI processing with minimal latency.<br>- Implement security best practices around LLMs, including defenses against prompt injection and crafting secure prompts.<br>- Collaborate closely with the product team to integrate cutting-edge AI technologies into our platform.<br>- Lead efforts in latency engineering to optimize system performance and responsiveness.<br><br><b>Technical Qualifications:</b><br><br>- 5+ years of experience in software development with Python and Django.<br>- Strong experience with AWS cloud services (EC2, S3, RDS, Lambda, CloudFormation). <br>- Experience implementing both Rest and GraphQL API's.<br>- Hands-on experience with AI platform integrations (OpenAI GPT, Hugging Face).<br>- Practical knowledge of Twilio and communications APIs and their implementation.<br>- Expertise in latency engineering, multi-threading, and optimizing applications for speed and scale.<br><br><br><b>Preferred Experience:</b><br><br>- Practical experience with async frameworks in Python (e.g., AsyncIO, FastAPI).<br>- Familiarity with Python's testing frameworks.<br>- Experience in performance tuning and optimization, particularly within high-load environments.<br>- Contributions to the Python and AI development communities are highly regarded.<br><br><b>Professional Skills:</b><br><br>- Demonstrated ability to write clean, maintainable, and efficient code.<br>- Strong problem-solving skills and the willingness to dive into challenging problems.<br>- Exceptional communication and collaboration abilities.<br>- A thorough understanding of AI security best practices, especially in LLMs.<br><br><b>Working conditions:</b><br><br>🏠 Possibility to work remotely;<br>⚖️ Work & life balance is our credo. No overtime;<br>🚀 Learning & Development program: a team of senior developers, individual budget for professional development (trainings and events, certification);<br>💶 You can always count on paying for a vacation (20 working days), sick leave (10 paid days), and holidays.<br><b>Interested in joining our team? Do not hesitate to contact us!<br></b>"
Team Lead Python Developer,"Deep Knowledge Group is a data-driven investment fund focused on young companies developing frontier technologies. We are researching technological markets based on written sources and produce high-quality analysis based on our unique database.<br><br>We are looking for a highly skilled Team Lead Python Developer to be the head of our data parsing team. As a Team Lead Python Developer, you will be responsible for leading a team and coordinating the processing of large volumes of data to support our business initiatives and participate in strategic planning.<br><br>Key Responsibilities:<br>Data processing: Process large volumes of data, including data collection, cleansing, transformation, and loading.<br>Data analysis: Analyse the processed data to identify key findings and decision-making insights.<br>Strategic planning: Collaborate with other departments to understand their data needs and develop data strategies that meet business objectives.<br>Process automation: Develop and implement automated solutions to optimize data processing.<br>Team Leadership: Manage and inspire the Data Parser team, providing them with the necessary resources and support to achieve high performance.<br><br>Requirements:<br>At least 2 years of experience in data processing and analysis.<br>Experience in managing a team of analysts or Data Parsers is a plus.<br>High level of knowledge of Python (libraries for data parsing and processing) and SQL.<br>Ability to communicate and collaborate effectively with internal departments and teams.<br>Analytical and problem-solving skills.<br>High responsibility and result orientation."
AI/ML Python Software Engineer (Vision),"If you want to build applied machine learning pipelines, we want you to join our team!<br><br>We’re assembling a team that understands the ins-and-outs of architecting and engineering an ML automation pipeline for processing unstructured data. We have tons of data to leverage for fine-tuning or training our own models! We’re interested in figuring out how accurate we can get different models to support our automation and processing pipeline.<br><br>Essential Duties and Responsibilities:<br>Work closely with Architects, Developers, QA, DevOps and Product Owners to solve complex problems.<br>Scrape, store, group and tag unstructured data from multiple sources with varied intent<br>Be a contributing member of our OCR/Computer vision AI/ML development team<br>Set-up and run multiple experiments at a time to figure out the best path forward<br>Help architect and engineer automation pipelines and interfaces<br>Attend daily stand-up meetings with the team and demo your work each week<br>Thrive in an agile, fast-paced environment<br><br>Qualifications for Success:<br>3+ years of experience as a Python Software Engineer (Senior or above)<br>Strong experience with Python, Keras, TensorFlow, Jupyter, etc<br>Strong experience with AWS cloud service: Cloudwatch, Lambda, Dynamo, API Gateway, S3, SQS, RDS<br>Strong experience creating APIs from scratch and integrating with 3rd party APIs<br>Solid knowledge of Database technologies (Dynamo, PostgreSQL, SQL) and database schema design<br>Strong experience with logs and ability to troubleshoot efficiently<br>Strong experience with version source control (Git)<br>Experience with documenting code<br>Team oriented<br><br><br>Bonus:<br>You’ve built and trained some models (CNNs)<br>You’ve used tools like LangChain, LLamaIndex, Oobabooga, Etc<br>Understanding of NLP, Data Science"
Python Engineer,"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.<br><br>Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.<br><br>We proudly serve a diverse client’s portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.<br><br><br>We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.<br>Responsibilities:<br>Serve as a technical domain expert on backend development.<br>Establish design principles with the broader development team.<br>Hands-on web development of production-ready applications at scale.<br>Design and implement efficient and well-engineered solutions.<br>Work closely with data science, product, QA and infrastructure teams<br><br>Skills<br>Back-end: Python, Django with celery.<br>AWS experience<br>Data: Basic SQL and NoSQ-mongodbL, AWS S3<br>Experience<br>5+ years in backend development<br>5+ years in Python, Django with celery.<br>Extensive AWS experience, including serverless architectures<br>Experience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)<br>Experience with SQL and NoSQ-mongodbL.<br>Nice to have: Experience in Machine Learning/Deep Learning<br><br>Education<br>Bachelor’s or Master's in Computer Science, Software Engineering or a related field"
Backend Developer (Python),"З зв’язку з динамічним розвитком нашої компанії команда GrainTrack в пошуках досвідченого Backend розробника, який буде не лише розробляти новий функціонал та підтримувати поточний, а й робити внесок в архітектуру, процеси, інструментарій.<br><br>Технічний стек:<br>- Python 3.11+DRF/Celery, PostgreSQL<br>- Ansible, Docker, GitHub Actions<br>- Prometheus, Loki, Sentry, SonarQube<br>Частково- TypeScript, Angular, Playwright, PWA, OpenAPI/Swagger<br><br>Вимоги:<br>- Глибокі знання інструментарію, базових речей (OOP, Clean, SOLID, GOF/GRASP);<br>- Впевнено почувати себе в середовищі PostgreSQL (не лише SQL);<br>- Написання чистого підтримуваного коду, ізоляція, покриття тестами;<br>- Можливість прийняти рішення в виборі архітектур, розуміти та враховувати особливості фреймворків;<br>- Володіння техніками DDD, можливість змоделювати предметну область як ізольовано, так і в контексті всієї системи (участь в бізнес та системному аналізі);<br>- Селфменеджмент, відповідальність за результат, та власну ефективність;<br><br>Обовʼязки:<br>- Швидка адаптація до ритму роботи команди, закриття тасок/історій;<br>- Аналіз, проєктування та розробка нової функціональності з командою;<br>- Підтримка, рефакторинг, поліпшення як коду продукту, так і процесів;<br>- Можливість росту починаючи від код овнера певних модулів, сервісів;<br><br>Можливості:<br>- Застосовувати на практиці та прокачувати теоретичні знання з проєктування, побудови архітектури, доменне моделювання (DDD);<br>- Використання останніх версії інструментів та технологій, сервісів;<br>- Брати участь не лише в побудові/адаптації процесу розробки, а й безпосередньо робити внесок в розвиток продукту;<br><br>Якщо ти готовий брати на себе відповідальність за виконання робіт в межах спрінта, заряджений робити внесок в процеси, пропонувати нові технології та кращі практики - подавай резюме!<br>Бажаємо тобі успіхів у відборі, давай розвиватись разом!<br>Про компанію Graintrack"
Senior Python Developer,"We are looking for a Senior Python developer for remote work in our worldwide team. We need someone who wants to take part in something big and assume responsibility for the success of a new and innovative e-commerce project.<br>The right candidate will be someone with an open mind who loves to solve problems and who strives to take their projects to the next level.<br>						<br>Job Type: Remote, full-time<br><br>- You will be working on the company's key product:<br>Maintain and extend Flask back-end service<br>Implement internal and external API integrations<br>Promote the best coding practices and standards, design best-in-class solutions<br>							<br>- Main hard skills requirements for candidates:<br><br>Strong background with Python 4+ years.<br>Experience creating API with Flask and Flask Restplus.<br>Experience with the following frameworks: SQLAlchemy, Celery, Marshmallow, and Pydantic.<br>Strong background working with MySQL and MongoDB Databases.<br>Experience with Kubernetes and Docker.<br>Experience with FastAPI would be a plus.<br>Experience with Clean Architecture would be a plus.<br>	<br>- Main soft skills requirements for candidates:<br><br>Strong desire and a proactive attitude to work.<br>English - at least Intermediate level.<br>Strong problem-solving abilities.<br>Flexibility and team player.<br><br><br>About us<br>								<br>AutoDS is an all-in-one dropshipping automation solution that saves dropshippers time on their everyday eCommerce tasks. We help our members automate everything from finding products to sell and monitoring their price, all the way to fulfilling orders.<br><br>We are a global company with team members all over the world. We live on collaboration tools like Slack and Zoom, but we love to chat and organize meet-ups as often as possible. ‘Community’ is one of our core values, and it is just as important as our technical values like eCommerce automation. <br><br>This is a great opportunity to work with talented teammates from across the globe.<br><br>We are proud of our online communities, like our YouTube channel with over 25k subscribers who are hungry to learn about dropshipping. When you join us, you will play an active part in growing and nurturing these communities.<br>								<br>No matter your role at AutoDS, you will help to grow the company and your voice will be heard."
Senior Full-stack (Python+React) developer,"<b>About the project:</b><br>The Client is US-based company, the develop construction intelligence platform for real estate owners and developers, allowing to monitor the construction projects around the world. They want to extend their US-based engineering team with several developers to work on the implementation of new functionality for their platform.<br><br><b>Stage:</b> new development within the existing platform, new roles (not replacement)<br><b>Tech stack:</b> JS (react), Python (django)<br><b>Timezone requirements:</b> US time zone, 11-12am to 8-9pm Ukraine time (at least 5 hours overlap with EST time zone)<br><b>Client team:</b> the team is about 60 people overall, 15-20 people in engineering team. All based in US.<br><b>English:</b> Upper-Intermediate+<br><br><b>Requirements:</b><br>- 6+ years experience developing web applications as full-stack developer.<br>- 3+ years Python (Django) experience.<br>- 3+ years JavaScript (React/Redux) experience.<br>- Proficiency with Agile development methodology.<br>- Strong knowledge of web application fundamentals (frontend, backend, databases).<br>- Strong understanding of common standards, conventions, and best practices associated with professional software development and the software development lifecycle.<br>- Breadth and depth of knowledge in multiple related technical areas (security, UX/UI, distributed systems, cloud computing, etc.).<br><br><b>Responsibilities:</b><br>- Build back-end and front-end functionality for current and new projects;<br>- Join a highly iterative team that has to adapt quickly in a fast-paced environment;<br>- Perform back-end development and API integration;<br>- Professionally collaborate with team members and stakeholders on projects;<br>- Strong personal ownership and ability to set and meet high professional standards;<br>- Advanced soft skills: the candidate is responsible, well organised, can easily communicate with team (both internal and external), work in tight schedule during releases to production.<br><br><b>Why choose us?</b><br>- “Family and Friends”. We are no longer a start-up, but we still, have a family atmosphere in our supportive and spirited team, who are all working together on the same goal.<br>- “Just break down all barriers and find a better way”. Every day you’ll meet with interesting and challenging (international) projects that are covering industries from commercial aviation to fintech (different technologies, different products).<br>- “Hungry for learning”. You will get a lot of chances for career advancement and the development of new skills, opportunities for mentorship, or learning from more experienced colleagues.<br><br><b>Benefits from 8allocate:</b><br>- You’ll work in a supportive and spirited team of professionals.<br>- Corporate events, holidays, and team buildings for your joy.<br>- Training and development: we have a huge library (about 500 books!) and a budget for your professional development.<br>- Сoverage of sports activities.<br>- Сoverage of psychologist sessions.<br>- People-oriented management without bureaucracy.<br>- Paid vacation and sick leaves."
QA engineer,"Про компанію:<br>Привіт! Ми <b>Chatmasters</b> — стартап, який створив сервіс на основі OpenAI, що дозволяє створювати чат-асистентів. Наша мета - зробити інтернет-комунікацію більш ефективною та зручною для користувачів та допомагати компаніям взаємодіяти з клієнтами та співробітниками. Зараз  запрошуємо до себе <b>QA engineer.</b><br><br>Деталі проєкту доступні за посиланням: https://chatmasters.io/<br><br><b>Ваші цілі у команді:</b><br>- виконання тестування функціональності та стабільності веб-додатків та чат-ботів.<br>- планування, дизайн і виконання тест-кейсів і тест-сценаріїв.<br>- виявлення, документування та відстеження дефектів та помилок.<br>- взаємодія з розробниками та іншими членами команди для виправлення дефектів.<br>- підготовка звітів про якість та роботу з системами керування завданнями.<br><br><b>Необхідні навички:</b><br><b>- досвід  automation на python</b> (основна вимога!)<br>- досвід роботи як QA-інженером +1 рік<br>- знання методологій тестування та досвід роботи зі звітами про баги.<br>- розуміння основ розробки та тестування веб-додатків.<br>- бажання вивчати нові технології та покращувати свої навички.<br>- вміння працювати у команді та виконувати завдання в строк.<br><br><b>Бенефiти від нас:</b><br>- цікавий продукт, що постійно розвивається<br>- гнучкий графік роботи та можливість працювати віддалено<br>- професійний розвиток у команді, що націлена на результат<br>- відкрита та дружня атмосфера в команді<br><br>Маєте бажання стати частиною нашої команди - залишай своє резюме!"
Python Developer (Strong Junior),"Всім привіт!<br>Знаходимось у пошуку Python developer у нашу команду <br><br>Роль:<br>Наша команда зростає і ми шукаємо спеціаліста у відділ розробки, який займатиметься розробкою веб додатків.<br><br>Функціонал:<br><br>- Розробка автоматизації бізнес-процесів;<br>- Парсинг даних;<br>- Робота з базою даних;<br>- Створення web додатків;<br>- Створення телеграм ботів.<br><br>Навички:<br>- Docker <br>- FastApi <br>- Flask <br>- Linux <br>- Aiogram <br>- Html, css, js <br>- Mysql, postgresql<br><br>Буде плюсом:<br>- Django<br>- AI finetune<br><br>Ми пропонуємо:<br><br>- Віддалений формат роботи без прив'язки до гео;<br>- Комфортне робоче середовище з налагодженими робочими процесами без надмірного контролю та мікро-менеджменту;<br>- Заробітну плату за результатами співбесіди;<br>- Періодичні загальнокорпоративні та командні заходи;<br>- Динамічне, креативне середовище, що розвивається."
Middle Python Developer,"Hi again! We have something interesting for 🐍 Python Developers!<br><br>Our client that creates web and mobile solutions and custom B2B and B2C applications for various industries and business areas is looking for ➡ Middle+ Python Developer ⬅ to join the team.<br><br>Required skills:<br>·       3+ years of commercial experience with Python;<br>3+ years of commercial experience with Django and Django REST Framework;<br>·       Experience with Celery or any other async task queue;<br>·       Experience with Docker and docker-compose;<br>·       Proficient experience with SQL Databases (PostgreSQL, etc.);<br>·       Upper-Intermediate+ level of English.<br><br>As a plus:<br>·       Experience with AWS or any other cloud solutions;<br>Knowledge of the Microservices Architecture.<br><br>Responsibilities:<br>·       Collaborating with cross-functional teams to understand and refine project requirements.<br>·       Designing and developing Python-based software solutions.<br>·       Writing clean and maintainable code, following best practices and coding standards.<br>·       Participating in code reviews to ensure code quality and consistency.<br>·       Debugging and troubleshooting software issues.<br>·       Optimizing and improving the performance of existing software.<br>·       Staying up-to-date with the latest Python development trends and technologies.<br><br>We offer you:<br>·      An incredible team of professionals who will support and help.<br>·      Ability to work in the office or completely remotely<br>·      A flexible start to the working day<br>·      Various opportunities to improve professional competences, growth in the horizontal and vertical plane<br>·      Full social package, holidays and sick leave<br>·      And this is only part of what the team can offer you!!!<br><br>Think you're the perfect candidate?<br><br>Share your resume with us and come meet the team!"
Senior  Backend developer Python (with Rust Experience),"Senior  Backend developer Python (with Rust Experience)<br><br>Requirements:<br>- High level of proficiency in Python programming language.<br>- Development experience using FastAPI to create fast and reliable APIs.<br>- Understanding of the operation and configuration of Postgres and Redis databases.<br>- Experience with Apache Kafka for processing streaming - data.<br>- Understanding of asynchronous programming and multitasking (asyncio, threading, multiprocessing).<br>- Rust development experience will be a significant advantage.<br>- Ability to develop and optimize highly loaded backend systems.<br><br>Responsibilities:<br>- Development and optimization of high-performance backend systems.<br>- Implementation and support of APIs using FastAPI.<br>- Work with Postgres and Redis databases to ensure efficient data storage and processing.<br>- Data processing and exchange via Apache Kafka.<br>- Using asynchronous programming to ensure high performance.<br>- Interacting with other teams to ensure product excellence.<br><br>Start date: ASAP<br>Part-time (potentially fulltime) <br>Location:  Remote <br>English Upper -intermediate"
Lead Tools Programmer,"<b>QLOC</b> offers first-class services for the video game industry. We love games and we love to co-develop games even more! Our broad range of services include development, art, testing and localization. We offer first-class services for the biggest players in the video game industry – <b>EA, Capcom, Warner Bros., CD PROJEKT RED, Activision and BANDAI NAMCO Entertainment</b> among many others. We work on the biggest gaming platforms, state-of-the-art technologies and games powered by Unreal Engine, or custom engines like Frostbite or REDengine. We have helped enhance and move Devil May Cry, Dark Souls Remastered, Mortal Kombat, Cyberpunk 2077, Gotham Knights (and many more) to new platforms, taking great joy in the process and sharing passion with players around the world. <br><br>Do you have some videogame industry experience or maybe you are a veteran looking for a stable and friendly work environment? Would you like to work in a well-developed and streamlined structure, where you know your duties? Want to get some needed work-life balance? <br>If yes - check our offer!  <br><br><b>AS ONE OF THE #QLOCDRAGONS YOU WILL BE RESPONSIBLE FOR:</b><br>- leading a small team of tools programmers<br>- leading by example, spending majority of time on coding-related activities<br>- managing architecture, designing and implementing of new and existing tools<br>- overseeing creation and development of different pipelines (build, test, content optimization)<br>- mentoring and guiding less experienced programmers in your domain<br>- cooperating with Producers, Lead Programmers and other domain Leads.<br><br><b>WHAT DO WE REQUIRE OF YOU?</b><br>- shipped at least one AA/AAA title as senior tools programmer<br>- 5+ years of experience in gaming industry with tools focus<br>- worked on a game targeting PC and/or consoles<br>- experience with Unreal Engine 4/5 or proprietary 3d engine<br>- good knowledge of at least one high-productivity language like Python or C#<br>- solid understanding of 3D math<br>- experience extending and optimizing content pipelines.<br><b>It is nice if you have:</b><br>- Unreal Engine 4/5 tools and content pipeline experience<br>- experience in working with the newest Microsoft and Sony consoles<br>- experience using or creating plugins for digital content creation tools (3ds Max, Maya, Substance Painter, Houdini)<br>- experience with test automation, especially in Unreal Engine.<br><br><b>WHAT CAN WE OFFER YOU IN RETURN?</b><br>- no crunch policy<br>- work with very strong IPs<br>- training and development budget<br>- possibility for partly remote work<br>- Polish, English or Japanese classes<br>- relocation assistance<br>- help and support with handling work and residence permit procedures, if needed<br><b>QLOC Wellness:</b><br>- Dragothon - a physical challenge and a charity event in one<br>power meetings with physiotherapist organized in our offices<br>- free and unlimited professional mental health support including webinars, podcasts and online consultation with psychotherapists<br>- shared financing of Multisport card that grants access to multiple sports facilities<br>- shared financing of private healthcare in Enel-Med<br>- fresh fruit and juice delivery twice a week.<br> <br>We believe in creating equal opportunities for all candidates, regardless of their background. We place a strong emphasis on respecting diversity and promoting integration within our company culture. As a result, we guarantee that every qualified candidate will be given fair consideration. <br><br>If you want to read about processing your personal data during recruitment, check out this page: https://q-loc.com/privacy-policy/personal-data-processing/"
"Full-stack engineer (React, Python, Django)","We are looking for a Full-stack engineer (React, Python) for an outstaff project. As a Full-Stack Engineer with a specialization in infrastructure backend development at Ritual, you will be responsible for designing, building, and maintaining the core infrastructure that powers our applications. You’ll work closely with cross-functional teams to ensure the reliability and performance of our backend systems while contributing to the overall architecture and development of our software solutions.<br><br><b>We are looking for someone who:</b><br>- Has a passion for our mission and values.<br>- Demonstrated ability to work and motivate colleagues in a startup environment.<br>- Has an innovative mindset and a track record of solving complex technical challenges.<br>- Has strong communication skills to bridge the gap between technical and non-technical stakeholders.<br>- Has a commitment to continuous learning and staying updated on industry trends.<br><br><b>Requirements:</b><br>- 3+ years of strong technical background with expertise in relevant programming languages and technologies<br>- 3+ years of experience with React and Python (with Django)<br>- Proficiency in one or more backend programming languages (e.g., Python, Java, Node.js)<br>- Strong knowledge of cloud computing platforms and infrastructure automation tools<br>- Experience with containerization and orchestration technologies (e.g., Docker, Kubernetes)<br>- Solid understanding of database systems (SQL and NoSQL) and data modeling<br>- Preferred frameworks:  Serverless, Terraform, GitHub Actions, Playwright, React, React-Native<br>- Strong problem-solving skills and the ability to work in a collaborative, cross-functional team environment<br>- Excellent communication skills to convey complex technical concepts to non-technical stakeholders<br>- Bachelor’s degree in Computer Science, Software Engineering, or a related field (Master’s preferred)<br>- English level: at least Upper-Intermediate<br><br><b>Key Responsibilities:</b><br>- Development skill: Design, develop, and maintain high-performance backend systems, APIs & user interfaces using the latest technologies and best practices.<br>- Infrastructure as Code (IaC): Implement Infrastructure as Code principles to automate the provisioning and management of infrastructure resources, ensuring scalability and reliability.<br>- Cloud Services: Utilize cloud platforms (e.g., AWS, GCP) to build and deploy infrastructure components, including serverless functions, containers, and databases.<br>- Performance Optimization: Continuously monitor and optimize backend systems for performance, scalability, and efficiency, identifying and resolving bottlenecks.<br>- Security: Implement security best practices to safeguard data and systems, including encryption, access controls, and vulnerability assessments.<br>- Database Management: Design and manage databases to store and retrieve data efficiently, considering data modeling, indexing, and query optimization.<br>- Collaboration: Collaborate with frontend engineers, DevOps teams, and other stakeholders to ensure seamless integration between the frontend and backend systems.<br>- Testing and Deployment: Implement automated testing and deployment pipelines to ensure the reliability of infrastructure changes.<br>- Documentation: Maintain clear and up-to-date documentation of infrastructure architecture, processes, and configurations.<br><br><b>We offer:</b><br>- cooperation with a stable company with well-established processes and a positive atmosphere;<br>- experience in project management of different levels of complexity, methodology, and approaches;<br>- flexible schedule: Mon-Fri (8 hours a day);<br>- 18 days of paid vacation; 15 days sick leave<br>- a decent level of remuneration with regular reviews of the results of cooperation;<br>- corporate library for self-development;<br>- extensive loyalty program."
Senior Python develoepr,"Description:<br>This project is centered around the music industry and aims to equitably distribute earnings among song rights holders. It involves handling extensive data, emphasizing the need for sound system architecture and optimized databases.<br>Technology:<br>4-5+ years of experience<br>Python, Django/DRF, Postgres, MongoDB, Elasticsearch, Celery, SqlAlchemy, Pytest, Vue.js, AWS, Docker.<br>Team Structure:<br>3 developers + tech team on client's side<br>Interview process:<br>1. technical check<br>2. Sending the CV and feedback from tech expert to client<br>3. A short 30-minute intro call with the client<br>4. A short practical task if the intro call is successful<br>5. Final technical interview on client's side<br>Responsibilities:<br>Designing APIs, performance improvement and code optimization, developing new modules to integrate into the system, unit tests, PR reviews, and task estimation."
